Job Post,Company,Skills,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
AbInitio Sr. Developer,TransUnion,"Linux,performance tuning,communication,debugging,Hadoop,MPP,shell scripting,C",4.3,(127 Reviews),6-10 Yrs,Not disclosed,"Pune, Chennai",14 Days Ago,https://www.naukri.com/job-listings-abinitio-sr-developer-transunion-software-services-pvt-ltd-pune-chennai-6-to-10-years-160822502864
Senior Business Consultant - AA,Rapid Value IT Services Pvt Ltd,"UAT,Training,Temenos T24,Production,Technical Skills,Implementation",4.0,(53 Reviews),8-12 Yrs,Not disclosed,Chennai,14 Days Ago,https://www.naukri.com/job-listings-senior-business-consultant-aa-rapid-value-it-services-pvt-ltd-chennai-8-to-12-years-160822502842
Guidewire Implementation Consultant,Rapid Value IT Services Pvt Ltd,"requirements analysis,debugging,Guidewire,IT Skills,Testing,Retail,Life Cycle,Asia",4.0,(53 Reviews),8-15 Yrs,Not disclosed,Chennai,14 Days Ago,https://www.naukri.com/job-listings-guidewire-implementation-consultant-rapid-value-it-services-pvt-ltd-chennai-8-to-15-years-160822502840
Senior 5G Optimization Expert,Ericsson,"Bidding,Google Analytics,Data management,Email marketing,PHP,Google AdWords,HTML,Troubleshooting",4.3,(5319 Reviews),16-20 Yrs,Not disclosed,Gurgaon/Gurugram,14 Days Ago,https://www.naukri.com/job-listings-senior-5g-optimization-expert-ericsson-india-global-services-pvt-ltd-gurgaon-gurugram-16-to-20-years-160822502001
Core Expert,Ericsson,"Telecom,Data conversion,Data management,Customer support,HTML,Customer service,microsoft,Solution Architect",4.3,(5319 Reviews),15-20 Yrs,Not disclosed,Mumbai,14 Days Ago,https://www.naukri.com/job-listings-core-expert-ericsson-india-global-services-pvt-ltd-mumbai-15-to-20-years-160822502000
Automation and AI Lead,Ericsson,"Telecom,Automation,Business transformation,Bidding,Data management,PHP,Google AdWords,HTML",4.3,(5319 Reviews),10-15 Yrs,Not disclosed,Mumbai,14 Days Ago,https://www.naukri.com/job-listings-automation-and-ai-lead-ericsson-india-global-services-pvt-ltd-mumbai-10-to-15-years-160822501998
Job Opportunity | Sr Executive Vigilance | Bhopal,Nephrocare Health Services,"vigilance,Field Investigation,Risk Analysis,Background Verification",4.0,(308 Reviews),2-6 Yrs,"2,25,000 - 3,75,000 PA.",Bhopal,13 Days Ago,https://www.naukri.com/job-listings-opportunity-sr-executive-vigilance-bhopal-nephrocare-health-services-pvt-ltd-bhopal-2-to-6-years-160822011990
SAP Sales Manager,Merino Services Ltd.,"SAP Business development manager,SAP Sales,communication,ERP Sales,Microsoft Dynamics,Salesforce,IT Skills,SAP",4.3,(38 Reviews),9-14 Yrs,Not disclosed,"Pune, Ahmedabad, Mumbai (All Areas)",14 Days Ago,https://www.naukri.com/job-listings-sap-sales-manager-merino-services-ltd-pune-ahmedabad-mumbai-all-areas-9-to-14-years-160822011666
German Language Expert,GMO GlobalSign Certificate Services Pvt. Ltd.,"German Language Expert,german language,German Translation,Multilingual,customer support,International Voice Process",4.8,(11 Reviews),1-3 Yrs,Not disclosed,Delhi / NCR(Okhla),14 Days Ago,https://www.naukri.com/job-listings-german-language-expert-gmo-globalsign-certificate-services-pvt-ltd-delhi-ncr-1-to-3-years-160822011573
Urgent Opening For Medical coding,Access Healthcare,"medical coding,Enm op,Denial coding,CPC,medical coder,E/M op,E&amp,M op",4.1,(1438 Reviews),1-5 Yrs,"2,50,000 - 6,50,000 PA.","Chennai, Coimbatore, TAMILNADU",14 Days Ago,https://www.naukri.com/job-listings-urgent-opening-for-medical-coding-access-healthcare-services-pvt-ltd-chennai-coimbatore-tamilnadu-1-to-5-years-160822011427
